metric_id,team_id,source_system,event_type,event_date,title,status,priority,metadata
eqm_001,team_001,jira,deployment,2024-03-01,Deploy platform pipeline v2.3,closed,medium,"{""release_id"": ""v2.3""}"
eqm_002,team_001,jira,pull_request,2024-03-03,Add retry logic to ingestion jobs,merged,high,"{""pr_number"": 142}"
eqm_003,team_002,azure_devops,incident,2024-02-28,ETL pipeline timeout on large dataset,resolved,critical,"{""incident_id"": ""INC-2024-089""}"
eqm_004,team_002,jira,defect,2024-03-02,Data type mismatch in silver layer,closed,high,"{""bug_id"": ""BUG-445""}"
eqm_005,team_002,jira,pull_request,2024-03-05,Refactor DLT expectations for orders table,merged,medium,"{""pr_number"": 156}"
eqm_006,team_003,azure_devops,deployment,2024-03-04,Deploy ML scoring pipeline v1.1,completed,medium,"{""release_id"": ""v1.1""}"
eqm_007,team_003,jira,defect,2024-03-06,Model drift detection false positive,open,low,"{""bug_id"": ""BUG-452""}"
eqm_008,team_003,azure_devops,incident,2024-03-08,Feature store sync failure,investigating,high,"{""incident_id"": ""INC-2024-095""}"
eqm_009,team_004,jira,pull_request,2024-03-02,Add dashboard for revenue metrics,merged,medium,"{""pr_number"": 133}"
eqm_010,team_004,jira,defect,2024-03-07,Incorrect aggregation in weekly report,open,high,"{""bug_id"": ""BUG-460""}"
eqm_011,team_005,azure_devops,deployment,2024-03-03,Update Terraform modules for workspace,completed,high,"{""release_id"": ""tf-v3.0""}"
eqm_012,team_005,azure_devops,deployment,2024-03-06,Deploy monitoring stack v2.0,completed,medium,"{""release_id"": ""mon-v2.0""}"
eqm_013,team_001,azure_devops,pull_request,2024-03-09,Implement cluster policy validation,merged,high,"{""pr_number"": 167}"
eqm_014,team_002,jira,incident,2024-03-10,Staging environment connection pool exhaustion,resolved,critical,"{""incident_id"": ""INC-2024-101""}"
eqm_015,team_004,azure_devops,defect,2024-03-11,Missing NOT NULL constraints on fact table,open,medium,"{""bug_id"": ""BUG-468""}"
eqm_016,team_001,jira,deployment,2024-03-12,Deploy golden path templates v3.0,closed,high,"{""release_id"": ""gp-v3.0""}"
eqm_017,team_005,jira,pull_request,2024-03-10,Add cost alerting thresholds,merged,medium,"{""pr_number"": 171}"
eqm_018,team_003,jira,pull_request,2024-03-12,Fix feature engineering pipeline timeout,merged,high,"{""pr_number"": 175}"
eqm_019,team_002,azure_devops,deployment,2024-03-14,Deploy data quality framework v1.5,completed,high,"{""release_id"": ""dq-v1.5""}"
eqm_020,team_004,jira,incident,2024-03-15,Dashboard query timeout during peak hours,investigating,medium,"{""incident_id"": ""INC-2024-108""}"
